,Date,0
0,,4536207.551807165
1,,4735995.538502932
2,,6689973.98352623
3,,7877446.025714278
4,,5712037.560343742
5,,6328739.350140095
6,,7602159.010067582
7,,9414840.858712792
8,,9025607.141390443
9,,17463872.336551547
10,,13452105.331033468
11,,14512721.039950848
12,,8747810.113921762
13,,8146960.293993354
14,,7699078.485503793
15,,6748671.0437089205
16,,6847805.317759514
17,,6399336.580641568
18,,6614747.082389891
19,,11813350.232452154
20,,8700517.237886786
21,,9704727.636545897
22,,6362949.8039111495
23,,5737914.18723762
24,,7637860.220581293
25,,8575670.732922852
26,,6651813.129320741
27,,7637566.406488419
28,,6317267.308928072
29,,5792592.98992157
30,,7235939.330905676
31,,5506543.634008616
32,,7148230.227723718
33,,17827782.07729757
34,,10546088.775999844
35,,8797388.443864882
36,,5713194.628223777
37,,6503723.830938339
38,,8362039.905108511
39,,6269191.628202796
40,,8480752.691105008
41,,6592971.960321069
42,,5200755.567513406
43,,5691109.252464026
44,,9950322.63943553
45,,9072653.773233294
46,,8957674.524888396
47,,16525624.600857496
48,,16821916.525915265
49,,12914748.736575246
50,,7997833.55204016
51,,8826665.6191051
52,,13940996.591314673
53,,17732555.530682206
54,,8963943.957984447
55,,8512234.17159915
56,,5781726.065829396
57,,6102982.394978404
58,,6302662.6498401165
59,,8884873.688690364
60,,6427737.210504711
61,,6445254.126898944
62,,6587311.142131686
63,,13594982.927054167
64,,15365235.22245884
65,,13635604.824066162
66,,14123961.622521281
67,,19451966.79510176
68,,11004179.225102067
69,,8363975.580334663
70,,9468261.857256293
71,,6720158.48466754
72,,8403363.458156586
73,,10211102.234467864
74,,10683919.065639377
75,,10567214.708834887
76,,15205180.694922805
77,,12318538.3810848
78,,8628364.89136517
79,,9388164.637751877
80,,11827377.75671482
81,,6963614.241138101
82,,6473134.286083281
83,,9821578.900396824
84,,10168802.798897028
85,,5937629.419967532
86,,9553497.325599194
87,,7015258.363977075
88,,5375530.181102455
89,,5679287.082791328
90,,7260393.058121204
91,,5753612.60426417
92,,6121276.519604027
93,,7112082.699611783
94,,7794225.28257966
95,,11229390.525519848
96,,6320856.038205326
97,,5500023.409597576
98,,5699340.594187379
99,,7737710.841372609
100,,6646456.6185846925
101,,7802554.212555289
102,,9058938.251554966
103,,7125044.098451734
104,,8263940.975956619
105,,4870113.277211785
106,,6403216.325782239
107,,6280218.750931323
108,,5045431.09709397
109,,9164644.167482853
110,,16810301.075443625
111,,8306081.61200583
112,,7789042.262069881
113,,7020085.309788585
114,,7797938.533067703
115,,7173544.41049695
116,,5645570.5165192485
117,,6274673.359706998
118,,5279653.046138585
119,,4736621.6423437
120,,5108794.554673135
121,,4206859.792407602
122,,4704156.933974475
123,,4795999.37184155
124,,8008617.228806019
125,,7002287.171334028
126,,4911738.339483738
127,,5080434.149358422
128,,4313714.731305838
129,,6762131.926506758
130,,5921196.117930114
131,,7270845.144696534
132,,4857957.768455148
133,,5117935.670748353
134,,3645707.754213363
135,,4975089.554809034
136,,7846658.506125212
137,,5122631.7993327975
138,,5398912.536215037
139,,6485320.575363934
140,,4354181.326583028
141,,4779247.771203518
142,,4826556.037500501
143,,8358903.789445758
144,,7426221.732139587
145,,5202932.590030134
146,,4802715.472314507
147,,4206987.46162653
148,,4432102.22312808
149,,4850478.101119399
150,,5883024.070806801
151,,4523730.596441776
152,,10336811.293661594
153,,7871909.029178321
154,,9578912.24463284
155,,9130858.345031738
156,,5544953.180857003
157,,5733394.696887583
158,,5386228.162091225
159,,11773502.045884728
160,,6944393.203005195
161,,6975703.991502523
162,,7432482.770547271
163,,6237999.764457345
164,,5837684.358932078
165,,7349699.950322509
166,,8519394.84077692
167,,5992217.979751527
168,,6167669.764868915
169,,4912576.409205794
170,,5555497.609004378
171,,5049938.69496882
172,,4754879.389986396
173,,5195555.058069527
174,,22070979.448199272
175,,22242310.840442777
176,,14809294.18706894
177,,10541550.047822297
178,,8422264.099016786
179,,5364075.978603214
