,Date,0
2175,2019/2/20,4725121.969
2176,2019/2/21,4615250.189
2177,2019/2/22,5984204.9
2178,2019/2/25,7236402.438
2179,2019/2/26,6010434.454
2180,2019/2/27,6326677.055
2181,2019/2/28,7401492.379
2182,2019/3/1,8955409.358
2183,2019/3/4,8894857.072
2184,2019/3/5,15547135.53
2185,2019/3/6,13117043.94
2186,2019/3/7,14398044
2187,2019/3/8,9481672.372
2188,2019/3/11,9345517.522
2189,2019/3/12,8580649.483
2190,2019/3/13,7630979.374
2191,2019/3/14,7275115.942
2192,2019/3/15,6814989.082
2193,2019/3/18,6815669.751
2194,2019/3/19,10695349.83
2195,2019/3/20,9094717.812
2196,2019/3/21,9866946.595
2197,2019/3/22,7437297.124
2198,2019/3/25,6770800.841
2199,2019/3/26,7758305.81
2200,2019/3/27,8619188.098
2201,2019/3/28,7267725.818
2202,2019/3/29,7852855.885
2203,2019/4/1,6977969.158
2204,2019/4/2,6396527.858
2205,2019/4/3,7195022.92
2206,2019/4/4,6050239.967
2207,2019/4/5,6970596.523
2208,2019/4/8,15102566.82
2209,2019/4/9,10981110.62
2210,2019/4/10,9616768.092
2211,2019/4/11,7118045.727
2212,2019/4/12,7515474.059
2213,2019/4/15,8407856.016
2214,2019/4/16,6945129.837
2215,2019/4/17,8329364.98
2216,2019/4/18,7240134.576
2217,2019/4/22,6057305.496
2218,2019/4/23,6040824.625
2219,2019/4/24,9167744.606
2220,2019/4/25,9139728.732
2221,2019/4/26,9187786.924
2222,2019/4/29,15208952.71
2223,2019/4/30,16412918.91
2224,2019/5/1,13293472.3
2225,2019/5/2,9460388.339
2226,2019/5/3,10166008.77
2227,2019/5/6,13995310.23
2228,2019/5/7,17138043.7
2229,2019/5/8,9885876.617
2230,2019/5/9,9871576.265
2231,2019/5/10,7429580.307
2232,2019/5/13,7333218.379
2233,2019/5/14,6900224.55
2234,2019/5/15,8718621.782
2235,2019/5/16,7259322.735
2236,2019/5/17,7134065.59
2237,2019/5/20,7191440.487
2238,2019/5/21,12454796.77
2239,2019/5/22,14924078.96
2240,2019/5/23,14173371.36
2241,2019/5/24,14790788.1
2242,2019/5/28,19486046.43
2243,2019/5/29,11819243.3
2244,2019/5/30,10464796.71
2245,2019/5/31,10963045.95
2246,2019/6/3,8667392.497
2247,2019/6/4,9343694.476
2248,2019/6/5,10713886.7
2249,2019/6/6,11417724.66
2250,2019/6/7,11415832.36
2251,2019/6/10,15207936.95
2252,2019/6/11,13182448.35
2253,2019/6/12,10230352.65
2254,2019/6/13,10636362.46
2255,2019/6/14,12470147.85
2256,2019/6/17,8638855.454
2257,2019/6/18,7864978.514
2258,2019/6/19,10122598.43
2259,2019/6/20,10669736.24
2260,2019/6/21,7451997.623
2261,2019/6/24,9788740.279
2262,2019/6/25,8211270.602
2263,2019/6/26,6733098.197
2264,2019/6/27,6461805.654
2265,2019/6/28,7560092.527
2266,2019/7/1,6551139.13
2267,2019/7/2,6594171.701
2268,2019/7/3,7348121.749
2269,2019/7/5,8070313.991
2270,2019/7/8,10780154.37
2271,2019/7/9,7663767.628
2272,2019/7/10,6738118.92
2273,2019/7/11,6578865.386
2274,2019/7/12,7927570.01
2275,2019/7/15,7174803.614
2276,2019/7/16,7964243.606
2277,2019/7/17,9126760.338
2278,2019/7/18,7949914.572
2279,2019/7/19,8602332.263
2280,2019/7/22,6166105.555
2281,2019/7/23,6840904.884
2282,2019/7/24,6666044.924
2283,2019/7/25,5729607.293
2284,2019/7/26,8382909.8
2285,2019/7/29,14851313.8
2286,2019/7/30,9504939.65
2287,2019/7/31,9026286.412
2288,2019/8/1,8286645.11
2289,2019/8/2,8734002.251
2290,2019/8/5,7891601.569
2291,2019/8/6,6669526.621
2292,2019/8/7,6835890.457
2293,2019/8/8,6107398.701
2294,2019/8/9,5461755.523
2295,2019/8/12,5452190.475
2296,2019/8/13,4778764.027
2297,2019/8/14,4856863.661
2298,2019/8/15,4934328.796
2299,2019/8/16,7262994.712
2300,2019/8/19,7271682.515
2301,2019/8/20,5921117.418
2302,2019/8/21,5772977.052
2303,2019/8/22,5158670.896
2304,2019/8/23,6547957.543
2305,2019/8/26,6278141.066
2306,2019/8/27,7290208.893
2307,2019/8/28,5875443.317
2308,2019/8/29,5827650.258
2309,2019/8/30,4623124.406
2310,2019/9/3,5172024.047
2311,2019/9/4,7175673.164
2312,2019/9/5,5903897.813
2313,2019/9/6,5831612.551
2314,2019/9/9,6683459.705
2315,2019/9/10,5361000.724
2316,2019/9/11,5181209.585
2317,2019/9/12,5171031.025
2318,2019/9/13,7657419.145
2319,2019/9/16,7585540.325
2320,2019/9/17,6100441.603
2321,2019/9/18,5544485.527
2322,2019/9/19,4969641.402
2323,2019/9/20,4746153.111
2324,2019/9/23,4843055.448
2325,2019/9/24,5636466.827
2326,2019/9/25,4923924.979
2327,2019/9/26,8976668.906
2328,2019/9/27,8384632.81
2329,2019/9/30,9734176.203
2330,2019/10/1,9641111.289
2331,2019/10/2,7087157.471
2332,2019/10/3,6709342.628
2333,2019/10/4,6224779.529
2334,2019/10/7,10671620.85
2335,2019/10/8,7966544.45
2336,2019/10/9,7764235.258
2337,2019/10/10,8037625.774
2338,2019/10/11,7256973.622
2339,2019/10/14,6553558.898
2340,2019/10/15,7485877.186
2341,2019/10/16,8538552.919
2342,2019/10/17,6854584.728
2343,2019/10/18,6718356.425
2344,2019/10/21,5722771.569
2345,2019/10/22,5890327.1
2346,2019/10/23,5392521.38
2347,2019/10/24,5071185.651
2348,2019/10/25,5241190.683
2349,2019/10/28,17445406.82
2350,2019/10/29,20443519.4
2351,2019/10/30,13498989.67
2352,2019/10/31,10926625.6
2353,2019/11/1,9291355.692
2354,2019/11/4,6717619.091
2355,2019/11/5,6800392.817
2356,2019/11/6,7640221.926
2357,2019/11/7,6765782.217
2358,2019/11/8,7084644.661
2359,2019/11/11,10626744.24
2360,2019/11/12,6775466.889
2361,2019/11/13,8459870.904
2362,2019/11/14,7213132.362
2363,2019/11/15,7687019.516
2364,2019/11/18,6495043.723
2365,2019/11/19,5577619.012
2366,2019/11/20,5071615.529
2367,2019/11/21,6528402.116
2368,2019/11/22,6262554.228
2369,2019/11/25,5937297.83
2370,2019/11/26,11388128.49
2371,2019/11/27,10044883.21
2372,2019/11/29,7776389.368
2373,2019/12/2,6404695.89
2374,2019/12/3,4687360.911
2375,2019/12/4,5748115.832
2376,2019/12/5,5984528.095
2377,2019/12/6,5538628.833
2378,2019/12/9,4589369.364
2379,2019/12/10,6361817.221
2380,2019/12/11,7418365.703
2381,2019/12/12,7571835.297
2382,2019/12/13,6706511.52
2383,2019/12/16,7115429.382
2384,2019/12/17,6521356.874
2385,2019/12/18,12357208.51
2386,2019/12/19,7938259.247
2387,2019/12/20,10883260.73
2388,2019/12/23,13209466.66
2389,2019/12/24,11423072.78
2390,2019/12/26,10609058.03
2391,2019/12/27,7709311.611
2392,2019/12/30,9061848.41
2393,2019/12/31,8481252.175
2394,2020/1/2,9837821.223
2395,2020/1/3,8562101.419
2396,2020/1/6,8235513.763
2397,2020/1/7,12707381.75
2398,2020/1/8,8506245.961
2399,2020/1/9,12960506.78
2400,2020/1/10,20346013.7
2401,2020/1/13,17943136.29
2402,2020/1/14,8544008.067
2403,2020/1/15,18807803.18
2404,2020/1/16,18224733.31
2405,2020/1/17,10733888.45
2406,2020/1/21,15260703.16
2407,2020/1/22,9313694.658
2408,2020/1/23,13041575.69
2409,2020/1/24,20435082.74
2410,2020/1/27,11346306.15
2411,2020/1/28,10338307.65
2412,2020/1/29,9961932.493
2413,2020/1/30,9051336.162
2414,2020/1/31,12467619.65
2415,2020/2/3,18571671.79
